Countries ,ASR (W) ,GDP (Per capita)
Afghanistan,115,691
Argentina,115,13040
Austria,104,48334
Bahamas,100,22554
Brazil,104,12157
Canada,103,52495
China,122,6338
Colombia,85,7885
Dominican Republic,91,5969
Ecuador,95,5702
Ethiopia,85,470
Fiji,85,4544
Finland,86,47416
Gabon,55,10642
Georgia,98,4143
Germany,101,44065
Greece,99,22243
Guatemala,96,3279
Hungary,152,12834
Iceland,78,44259
India,65,1447
Indonesia,89,3701
Israel,94,32570
Italy,102,34814
Jamaica,108,5467
Lithuania,129,14343
Madagascar,104,445
Mexico,69,9721
Morocco,78,1931
Norway,99,101564
Peru,92,6386
Russia,122,15042
Singapore,91,54451
South Korea,181,24454
Tukey,129,10539
USA,318,51400
Venezuela,86,12772
